,AOSLO Spectra,,
Intergral,1,1,1
Max,0.05,0.01,0.04
Lambda,Red (680),Green (543),Blue (488)
380,0.00003322,6.26433E-06,2.20767E-05
384,2.57233E-05,5.99933E-06,1.70433E-05
388,0.00002633,0.000006266,1.34067E-05
392,1.81233E-05,5.16667E-06,1.20833E-05
396,0.00001487,0.000005017,1.13967E-05
400,1.66833E-05,0.000003335,1.51347E-05
404,2.32367E-05,2.48433E-06,0.00001301
408,0.000015652,1.87567E-06,1.28753E-05
412,1.14573E-05,0.000002571,0.000010968
416,1.61933E-05,3.02267E-06,8.83867E-06
420,1.22267E-05,3.36267E-06,0.000008159
424,1.58267E-05,2.77333E-06,1.10167E-05
428,2.20233E-05,2.43867E-06,1.05623E-05
432,1.87033E-05,3.55133E-06,1.43357E-05
436,0.00001254,2.88533E-06,0.000020463
440,1.52967E-05,4.56133E-06,0.000017934
444,0.00001413,4.10033E-06,2.43143E-05
448,1.40167E-05,3.00667E-06,2.11933E-05
452,1.94167E-05,0.00000219,2.79137E-05
456,2.16367E-05,0.000002227,0.000014656
460,2.52967E-05,3.20767E-06,0.00001657
464,2.26033E-05,0.000004279,2.95633E-05
468,2.06933E-05,4.39833E-06,0.00006445
472,1.45367E-05,0.000004374,0.000950967
476,0.00001492,3.85233E-06,0.010456667
480,0.00001967,0.000002794,0.02917
484,0.00001764,0.000002477,0.039416667
488,0.00001473,1.99233E-06,0.03859
492,1.87733E-05,2.82367E-06,0.033323333
496,1.61767E-05,5.07733E-06,0.023473333
500,1.82733E-05,0.000003688,0.010132
504,1.88967E-05,4.83067E-06,0.002265
508,1.57867E-05,0.000004629,0.0002264
512,1.08227E-05,0.000005303,4.90233E-05
516,1.33023E-05,0.000006079,5.40467E-05
520,1.10873E-05,1.71267E-05,0.00003838
524,0.000012842,0.000407233,5.26833E-05
528,1.56347E-05,0.002860667,4.83467E-05
532,2.68533E-05,0.006867667,3.94933E-05
536,0.00002789,0.008933667,2.74667E-05
540,1.63433E-05,0.009253333,3.35933E-05
544,1.90053E-05,0.009163333,0.00003814
548,1.48387E-05,0.009085,0.00004108
552,0.00001391,0.008229333,0.00003412
556,0.00001828,0.004800667,3.77367E-05
560,0.00001997,0.001105667,3.30833E-05
564,0.00003069,3.61833E-05,1.89167E-05
568,0.0000213,1.19287E-05,1.60667E-05
572,0.00001613,1.29667E-05,1.17533E-05
576,1.59633E-05,1.12457E-05,0.00001391
580,1.50533E-05,1.24583E-05,0.00002266
584,1.62467E-05,1.07987E-05,3.44167E-05
588,2.49767E-05,1.03763E-05,2.05867E-05
592,3.00067E-05,8.19033E-06,0.00001385
596,2.79667E-05,7.64767E-06,0.00001216
600,1.99033E-05,0.000009667,1.29433E-05
604,0.00004148,0.000011871,2.38433E-05
608,3.77833E-05,1.34567E-05,0.00001765
612,3.39867E-05,1.18927E-05,1.81667E-05
616,2.43867E-05,1.09377E-05,0.00001862
620,0.00002137,6.43933E-06,1.49567E-05
624,0.00003095,0.00000594,0.00001799
628,3.43467E-05,7.26667E-06,2.14633E-05
632,6.60567E-05,6.55833E-06,2.31633E-05
636,6.57233E-05,7.84067E-06,2.32233E-05
640,5.96167E-05,0.000005281,2.42233E-05
644,0.00005314,6.07633E-06,2.80133E-05
648,4.19133E-05,5.57967E-06,0.00001774
652,6.67067E-05,6.10433E-06,2.66667E-05
656,0.000415967,4.45767E-06,3.41233E-05
660,0.006882,5.33967E-06,4.04967E-05
664,0.045996667,4.32467E-06,2.61767E-05
668,0.122033333,0.000004442,2.41967E-05
672,0.1723,6.81867E-06,0.00002709
676,0.1774,5.12733E-06,2.67367E-05
680,0.1743,0.000006366,0.00003369
684,0.172866667,6.59467E-06,0.00004641
688,0.171966667,8.25433E-06,0.0000466
692,0.157633333,9.41733E-06,0.00004488
696,0.1047,0.000008807,3.90367E-05
700,0.0383,6.01567E-06,4.00867E-05
704,0.005509667,7.99067E-06,0.0000302
708,0.0003613,0.000009591,3.04633E-05
712,0.000213567,1.29833E-05,3.21067E-05
716,0.0001918,1.26537E-05,3.39533E-05
720,0.000207733,1.65473E-05,4.77233E-05
724,0.000235233,1.20337E-05,6.98267E-05
728,0.000294067,1.04973E-05,0.00006118
732,0.000277067,1.33307E-05,4.44567E-05
736,0.0002758,1.59087E-05,7.56767E-05
740,0.000319667,0.00001615,6.55767E-05
744,0.000326533,2.78067E-05,7.33667E-05
748,0.0003791,1.74433E-05,6.32967E-05
752,0.000420733,1.88967E-05,0.00011209
756,0.000419567,1.91967E-05,0.000101067
760,0.0002365,0.00002058,9.41333E-05
764,0.000202367,3.45567E-05,0.00020166
768,0.0002039,3.55667E-05,0.000129967
772,0.000218167,4.51367E-05,0.000154
776,0.000294667,4.91233E-05,0.0001322
780,0.000421933,3.30167E-05,0.000162867
