,LED Spectra,,,,,LED blocking filter transmission,,,
Intergral,1.00,1.00,1.00,1.00,,26.27,19.22,34.53,401.00
Max,0.05,0.01,0.04,0.05,,0.99,0.99,0.99,1.00
Lambda,Red LED,Green LED,Blue LED,UV LED,,Red LED,Green LED,Blue LED,UV LED
300,0.000000000,0.000000000,0.000000000,0.000000000,,0.000000000,0.000000950,0.000000000,1.000000000
301,0.000000000,0.000000000,0.000000000,0.000000000,,0.000000000,0.000000950,0.000000000,1.000000000
302,0.000000000,0.000000000,0.000000000,0.000000000,,0.000000000,0.000000950,0.000000000,1.000000000
303,0.000000000,0.000000000,0.000000000,0.000000000,,0.000000000,0.000000950,0.000000000,1.000000000
304,0.000000000,0.000000000,0.000000000,0.000000000,,0.000000000,0.000000950,0.000000000,1.000000000
305,0.000000000,0.000000000,0.000000000,0.000000000,,0.000000000,0.000000950,0.000000000,1.000000000
306,0.000000000,0.000000000,0.000000000,0.000000000,,0.000000000,0.000000950,0.000000000,1.000000000
307,0.000000000,0.000000000,0.000000000,0.000000000,,0.000000000,0.000006960,0.000000000,1.000000000
308,0.000000000,0.000000000,0.000000000,0.000000000,,0.000000000,0.000006690,0.000000000,1.000000000
309,0.000000000,0.000000000,0.000000000,0.000000000,,0.000000000,0.000010400,0.000000000,1.000000000
310,0.000000000,0.000000000,0.000000000,0.000000000,,0.000000000,0.000000950,0.000000000,1.000000000
311,0.000000000,0.000000000,0.000000000,0.000000000,,0.000000000,0.000003650,0.000000000,1.000000000
312,0.000000000,0.000000000,0.000000000,0.000000000,,0.000000000,0.000003260,0.000000000,1.000000000
313,0.000000000,0.000000000,0.000000000,0.000000000,,0.000000000,0.000003530,0.000000000,1.000000000
314,0.000000000,0.000000000,0.000000000,0.000000000,,0.000000000,0.000002230,0.000000000,1.000000000
315,0.000000000,0.000000000,0.000000000,0.000000000,,0.000000000,0.000000950,0.000000000,1.000000000
316,0.000000000,0.000000000,0.000000000,0.000000000,,0.000000000,0.000002450,0.000000000,1.000000000
317,0.000000000,0.000000000,0.000000000,0.000000000,,0.000000000,0.000000950,0.000000000,1.000000000
318,0.000000000,0.000000000,0.000000000,0.000000000,,0.000000000,0.000007220,0.000000000,1.000000000
319,0.000000000,0.000000000,0.000000000,0.000000000,,0.000000000,0.000004770,0.000000000,1.000000000
320,0.000000000,0.000000000,0.000000000,0.000000000,,0.000000000,0.000000950,0.000000000,1.000000000
321,0.000000000,0.000000000,0.000000000,0.000000000,,0.000000000,0.000000950,0.000000000,1.000000000
322,0.000000000,0.000000000,0.000000000,0.000000000,,0.000000000,0.000000950,0.000000000,1.000000000
323,0.000000000,0.000000000,0.000000000,0.000000000,,0.000000000,0.000000950,0.000000000,1.000000000
324,0.000000000,0.000000000,0.000000000,0.000000000,,0.000000000,0.000004470,0.000000000,1.000000000
325,0.000000000,0.000000000,0.000000000,0.000000000,,0.000000000,0.000001500,0.000000000,1.000000000
326,0.000000000,0.000000000,0.000000000,0.000000000,,0.000000000,0.000004290,0.000000000,1.000000000
327,0.000000000,0.000000000,0.000000000,0.000000000,,0.000000000,0.000004150,0.000000000,1.000000000
328,0.000000000,0.000000000,0.000000000,0.000000000,,0.000000000,0.000000950,0.000000000,1.000000000
329,0.000000000,0.000000000,0.000000000,0.000000000,,0.000000000,0.000000950,0.000000000,1.000000000
330,0.000000000,0.000000000,0.000000000,0.000193000,,0.000000000,0.000004470,0.000000000,1.000000000
331,0.000000000,0.000000000,0.000000000,0.000217000,,0.000000000,0.000000950,0.000000000,1.000000000
332,0.000000000,0.000000000,0.000000000,0.000241000,,0.000000000,0.000000950,0.000000000,1.000000000
333,0.000000000,0.000000000,0.000000000,0.000247000,,0.000000000,0.000000950,0.000000000,1.000000000
334,0.000000000,0.000000000,0.000000000,0.000254000,,0.000000000,0.000005520,0.000000000,1.000000000
335,0.000000000,0.000000000,0.000000000,0.000267000,,0.000000000,0.000000988,0.000000000,1.000000000
