,640nm,550nm,465nm,390nm
Current (%),Red (µW),Green (µW),Blue (µW),UV (µW)
2.8,0.00017,0.00015,0.00021,0.00069
3,0.00039,0.00032,0.00047,0.00161
3.25,0.0007,0.00057,0.00084,0.0029
3.5,0.00099,0.00081,0.00119,0.0041
4,0.00157,0.00128,0.00187,0.0065
5,0.00279,0.00221,0.00326,0.01153
6,0.00404,0.00315,0.00469,0.01673
7,0.0053,0.00408,0.00599,0.02177
8,0.00655,0.00499,0.00739,0.02725
9,0.00778,0.00588,0.00863,0.03228
10,0.00905,0.00676,0.00997,0.03747
12,0.01175,0.00849,0.0124,0.04755
15,0.0156,0.01111,0.01608,0.06267
20,0.02177,0.01498,0.02175,0.08785
30,0.03429,0.02263,0.03201,0.1369
40,0.04642,0.02922,0.04125,0.18476
50,0.05719,0.03562,0.04986,0.23084
60,0.067,0.04138,0.05727,0.27588
80,0.08487,0.05238,0.07063,0.36601
100,0.101,0.0618,0.0822,0.4475
