,LED Spectra
Intergral,1
Max,0.05
Lambda,White
380,1.83E-05
384,8.41E-06
388,4.25E-06
392,1.37E-05
396,1.65E-05
400,1.60E-05
404,3.41E-05
408,6.98E-05
412,0.0001313
416,0.0002234
420,0.0003382
424,0.0004832
428,0.000619
432,0.0007779
436,0.0009944
440,0.001308
444,0.001811
448,0.002697
452,0.004166
456,0.006173
460,0.008527
464,0.01075
468,0.01221
472,0.0125
476,0.01171
480,0.01077
484,0.01005
488,0.009731
492,0.009681
496,0.009638
500,0.009325
504,0.008747
508,0.0079
512,0.00695
516,0.006024
520,0.005175
524,0.004599
528,0.004246
532,0.004027
536,0.003912
540,0.003881
544,0.003989
548,0.004269
552,0.004748
556,0.005472
560,0.006403
564,0.007599
568,0.008678
572,0.009619
576,0.01027
580,0.01054
584,0.01034
588,0.009837
592,0.009151
596,0.008383
600,0.007621
604,0.00689
608,0.006373
612,0.005973
616,0.005641
620,0.005339
624,0.005079
628,0.004828
632,0.004554
636,0.004258
640,0.003876
644,0.003529
648,0.003187
652,0.002853
656,0.002503
660,0.002198
664,0.001961
668,0.00174
672,0.001555
676,0.001374
680,0.001234
684,0.00112
688,0.0009948
692,0.0008762
696,0.0007889
700,0.0007199
704,0.0006374
708,0.0005636
712,0.0005105
716,0.0004583
720,0.0003849
724,0.000357
728,0.0003271
732,0.0003037
736,0.0002573
740,0.0002215
744,0.0002076
748,0.0001706
752,0.0001261
756,0.0001848
760,0.0001894
764,0.0001109
768,0.0001691
772,0.0001674
776,0.0001352
780,0.0001804
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
