Wavelength,Red,Green,Blue,UV
300.0,0.0,0.0,0.0,0.0
301.0,0.0,0.0,0.0,0.0
302.0,0.0,0.0,0.0,0.0
303.0,0.0,0.0,0.0,0.0
304.0,0.0,0.0,0.0,0.0
305.0,0.0,0.0,0.0,0.0
306.0,0.0,0.0,0.0,0.0
307.0,0.0,0.0,0.0,0.0
308.0,0.0,0.0,0.0,0.0
309.0,0.0,0.0,0.0,0.0
310.0,0.0,0.0,0.0,0.0
311.0,0.0,0.0,0.0,0.0
312.0,0.0,0.0,0.0,0.0
313.0,0.0,0.0,0.0,0.0
314.0,0.0,0.0,0.0,0.0
315.0,0.0,0.0,0.0,0.0
316.0,0.0,0.0,0.0,0.0
317.0,0.0,0.0,0.0,0.0
318.0,0.0,0.0,0.0,0.0
319.0,0.0,0.0,0.0,0.0
320.0,0.0,0.0,0.0,0.0
321.0,0.0,0.0,0.0,0.0
322.0,0.0,0.0,0.0,0.0
323.0,0.0,0.0,0.0,0.0
324.0,0.0,0.0,0.0,0.0
325.0,0.0,0.0,0.0,0.0
326.0,0.0,0.0,0.0,0.0
327.0,0.0,0.0,0.0,0.0
328.0,0.0,0.0,0.0,0.0
329.0,0.0,0.0,0.0,0.0
330.0,0.0,0.0,0.0,0.000193
331.0,0.0,0.0,0.0,0.000217
332.0,0.0,0.0,0.0,0.000241
333.0,0.0,0.0,0.0,0.000247
334.0,0.0,0.0,0.0,0.000254
335.0,0.0,0.0,0.0,0.000267
336.0,0.0,0.0,0.0,0.000279
337.0,0.0,0.0,0.0,0.000312
338.0,0.0,0.0,0.0,0.000345
339.0,0.0,0.0,0.0,0.000384
340.0,0.0,0.0,0.0,0.000423
341.0,0.0,0.0,0.0,0.000472
342.0,0.0,0.0,0.0,0.000521
343.0,0.0,0.0,0.0,0.000577
344.0,0.0,0.0,0.0,0.000634
345.0,0.0,0.0,0.0,0.000714
346.0,0.0,0.0,0.0,0.000794
347.0,0.0,0.0,0.0,0.000842
348.0,0.0,0.0,0.0,0.00089
349.0,0.0,0.0,0.0,0.000966
350.0,0.0,0.0,0.0,0.00104
351.0,0.0,0.0,0.0,0.00111
352.0,0.0,0.0,0.0,0.00117
353.0,0.0,0.0,0.0,0.0012
354.0,0.0,0.0,0.0,0.00122
355.0,0.0,0.0,0.0,0.00128
356.0,0.0,0.0,0.0,0.00134
357.0,0.0,0.0,0.0,0.00137
358.0,0.0,0.0,0.0,0.0014
359.0,0.0,0.0,0.0,0.00141
360.0,0.0,0.0,0.0,0.00143
361.0,0.0,0.0,0.0,0.00146
362.0,0.0,0.0,0.0,0.0015
363.0,0.0,0.0,0.0,0.00152
364.0,0.0,0.0,0.0,0.00154
365.0,0.0,0.0,0.0,0.00158
366.0,0.0,0.0,0.0,0.00162
367.0,0.0,0.0,0.0,0.00178
368.0,0.0,0.0,0.0,0.00193
369.0,0.0,0.0,0.0,0.0023
370.0,0.0,0.0,0.0,0.00266
371.0,0.0,0.0,0.0,0.00348
372.0,0.0,0.0,0.0,0.00429
373.0,0.0,0.0,0.0,0.00564
374.0,0.0,0.0,0.0,0.00698
375.0,0.0,0.0,0.0,0.0095
376.0,0.0,0.0,0.0,0.012
377.0,0.0,0.0,0.0,0.0158
378.0,0.0,0.0,0.0,0.0196
379.0,0.0,0.0,0.0,0.0246
380.0,0.0,0.0,0.0,0.0296
381.0,0.0,0.0,0.0,0.0346
382.0,0.0,0.0,0.0,0.0396
383.0,0.0,0.0,0.0,0.0435
384.0,0.0,0.0,0.0,0.0474
385.0,0.0,0.0,0.0,0.0493
386.0,0.0,0.0,0.0,0.0513
387.0,0.0,0.0,0.0,0.0508
388.0,0.0,0.0,0.0,0.0504
389.0,0.0,0.0,0.0,0.048
390.0,0.0,0.0,0.0,0.0456
391.0,0.0,0.0,0.0,0.042
392.0,0.0,0.0,0.0,0.0384
393.0,0.0,0.0,0.0,0.0348
394.0,0.0,0.0,0.0,0.0311
395.0,0.0,0.0,0.0,0.0278
396.0,0.0,0.0,0.0,0.0244
397.0,0.0,0.0,0.0,0.0217
398.0,0.0,0.0,0.0,0.0189
399.0,0.0,0.0,0.0,0.0167
400.0,0.0,0.0,0.0,0.0144
401.0,0.0,0.0,0.0,0.0127
402.0,0.0,0.0,0.0,0.0111
403.0,0.0,0.0,0.0,0.00972
404.0,0.0,1.3299999999999998e-10,0.0,0.00836
405.0,0.0,1.3965e-10,0.0,0.00733
406.0,0.0,1.4725e-10,0.0,0.00629
407.0,0.0,1.596e-10,0.0,0.00552
408.0,0.0,1.71e-10,0.0,0.00475
409.0,0.0,1.9475e-10,0.0,0.00417
410.0,0.0,2.1755000000000001e-10,0.0,0.00359
411.0,0.0,2.5175e-10,0.0,0.00314
412.0,0.0,2.85e-10,0.0,0.00269
413.0,0.0,3.4105000000000003e-10,0.0,0.00237
414.0,0.0,3.9615e-10,0.0,0.00204
415.0,0.0,4.835500000000001e-10,0.0,0.0018
416.0,0.0,5.7095e-10,0.0,0.00155
417.0,0.0,6.9445e-10,0.0,0.00135
418.0,0.0,8.179500000000001e-10,0.0,0.00115
419.0,0.0,9.785e-10,0.0,0.00101
420.0,0.0,1.14e-09,0.0,0.000868
421.0,0.0,1.349e-09,0.0,0.000765
422.0,0.0,1.558e-09,0.0,0.000663
423.0,0.0,1.8240000000000001e-09,2.7999999999999997e-11,0.000586
424.0,0.0,2.0805e-09,2.96e-11,0.000508
425.0,0.0,2.375e-09,3.12e-11,0.000448
426.0,0.0,2.679e-09,3.33e-11,0.000388
427.0,0.0,3.0305000000000002e-09,3.5799999999999995e-11,0.000336
428.0,0.0,3.3819999999999997e-09,3.84e-11,0.000283
429.0,0.0,3.762e-09,4.32e-11,0.000237
430.0,0.0,4.142e-09,4.8e-11,0.000191
431.0,0.0,4.579e-09,5.37e-11,0.000157
432.0,0.0,5.016e-09,6.07e-11,0.000122
433.0,0.0,5.491e-09,6.759999999999999e-11,9.18e-05
434.0,0.0,5.966e-09,7.59e-11,6.15e-05
435.0,0.0,6.5075000000000005e-09,8.44e-11,0.0
436.0,0.0,7.0585e-09,9.64e-11,0.0
437.0,0.0,7.666500000000001e-09,1.17e-10,0.0
438.0,0.0,8.2745e-09,1.38e-10,0.0
439.0,0.0,8.854000000000001e-09,1.65e-10,0.0
440.0,0.0,9.442999999999999e-09,4.947000000000001e-10,0.0
441.0,0.0,9.88e-09,1.92192e-09,0.0
442.0,0.0,1.0355e-08,8.7576e-09,0.0
443.0,0.0,1.0545000000000001e-08,4.5844000000000003e-08,0.0
444.0,0.0,1.083e-08,2.83084e-07,0.0
445.0,0.0,1.0545000000000001e-08,2.30466e-06,0.0
446.0,0.0,1.0355e-08,2.64928e-05,0.0
447.0,0.0,9.785e-09,0.000555344,0.0
448.0,0.0,9.2245e-09,0.006066370000000001,0.0
449.0,0.0,8.483500000000001e-09,0.0075122999999999995,0.0
450.0,0.0,7.733e-09,0.00867006,0.0
451.0,0.0,7.144e-09,0.0100164,0.0
452.0,0.0,6.564500000000001e-09,0.0113505,0.0
453.0,0.0,5.9185e-09,0.013283999999999999,0.0
454.0,0.0,5.282e-09,0.0151536,0.0
455.0,0.0,4.3415e-09,0.017202500000000003,0.0
456.0,0.0,3.3914999999999997e-09,0.0197985,0.0
457.0,0.0,3.173e-09,0.022261,0.0
458.0,0.0,2.9545e-09,0.0249174,0.0
459.0,0.0,2.7929999999999998e-09,0.0278052,0.0
460.0,0.0,2.6315e-09,0.030856799999999997,0.0
461.0,0.0,2.7454e-09,0.0331271,0.0
462.0,0.0,2.2895e-09,0.0355585,0.0
463.0,0.0,1.5321599999999998e-08,0.037172199999999996,0.0
464.0,0.0,9.335699999999999e-09,0.038415,0.0
465.0,0.0,1.8240000000000001e-09,0.039045399999999994,0.0
466.0,0.0,1.6815e-09,0.0388878,0.0
467.0,0.0,1.558e-09,0.038238699999999994,0.0
468.0,0.0,1.4345000000000002e-09,0.036815099999999996,0.0
469.0,0.0,1.3395e-09,0.034932,0.0
470.0,0.0,1.2445e-09,0.032669699999999996,0.0
471.0,0.0,1.1685e-09,0.030591,0.0
472.0,0.0,1.102e-09,0.028044,0.0
473.0,0.0,1.0545e-09,0.025661999999999997,0.0
474.0,0.0,1.007e-09,0.023592000000000002,0.0
475.0,0.0,9.69e-10,0.021473,0.0
476.0,0.0,9.3385e-10,0.019878899999999998,0.0
477.0,0.0,9.158e-10,0.018278,0.0
478.0,0.0,8.9775e-10,0.016946100000000002,0.0
479.0,0.0,8.8065e-10,0.0156774,0.0
480.0,0.0,8.645e-10,0.0145089,0.0
481.0,0.0,8.578500000000001e-10,0.0133785,0.0
482.0,0.0,8.512e-10,0.011718000000000001,0.0
483.0,0.0,8.512e-10,0.00035305,0.0
484.0,0.0,8.512e-10,2.058e-05,0.0
485.0,0.0,8.6545e-10,4.52196e-06,0.0
486.0,0.0,8.797e-10,1.326e-07,0.0
487.0,0.0,9.063e-10,4.70448e-09,0.0
488.0,0.0,9.329e-10,7.119999999999999e-10,0.0
489.0,0.0,9.785e-10,6.489999999999999e-10,0.0
490.0,0.0,1.026e-09,5.839999999999999e-10,0.0
491.0,0.0,1.0829999999999999e-09,5.27e-10,0.0
492.0,0.0,1.1495e-09,4.81e-10,0.0
493.0,0.0,1.2255e-09,4.36e-10,0.0
494.0,0.0,1.3015e-09,3.91e-10,0.0
495.0,0.0,1.3869999999999999e-09,3.5e-10,0.0
496.0,0.0,1.4725e-09,3.2499999999999996e-10,0.0
497.0,0.0,1.577e-09,3e-10,0.0
498.0,0.0,1.672e-09,2.71e-10,0.0
499.0,0.0,1.786e-09,2.45e-10,0.0
500.0,0.0,1.8905e-09,2.22e-10,0.0
501.0,0.0,2.014e-09,2.02e-10,0.0
502.0,0.0,2.1374999999999997e-09,1.83e-10,0.0
503.0,0.0,2.2610000000000004e-09,1.66e-10,0.0
504.0,0.0,2.3845e-09,1.49e-10,0.0
505.0,0.0,2.508e-09,1.36e-10,0.0
506.0,0.0,2.641e-09,1.2399999999999999e-10,0.0
507.0,0.0,2.7739999999999997e-09,1.11e-10,0.0
508.0,0.0,2.8975000000000004e-09,9.92e-11,0.0
509.0,0.0,3.0305000000000002e-09,9.15e-11,0.0
510.0,0.0,3.154e-09,8.6e-11,0.0
511.0,0.0,3.2775e-09,8.06e-11,0.0
512.0,0.0,3.4009999999999997e-09,7.56e-11,0.0
513.0,0.0,3.5245000000000004e-09,7.069999999999999e-11,0.0
514.0,0.0,3.6385e-09,6.89e-11,0.0
515.0,0.0,3.7525e-09,6.84e-11,0.0
516.0,0.0,3.857e-09,5.94e-11,0.0
517.0,0.0,3.9615000000000004e-09,4.73e-11,0.0
518.0,0.0,4.056500000000001e-09,3.52e-11,0.0
519.0,0.0,4.1515e-09,2.84e-11,0.0
520.0,0.0,4.2465e-09,3.09e-11,0.0
521.0,0.0,4.3319999999999995e-09,3.3399999999999996e-11,0.0
522.0,0.0,4.4175e-09,3.33e-11,0.0
523.0,0.0,4.4935e-09,3.2699999999999994e-11,0.0
524.0,0.0,4.5695e-09,3.21e-11,0.0
525.0,0.0,4.6455e-09,3.1399999999999996e-11,0.0
526.0,0.0,4.712e-09,3.08e-11,0.0
527.0,0.0,4.769e-09,2.9799999999999997e-11,0.0
528.0,0.0,4.8260000000000005e-09,2.86e-11,0.0
529.0,0.0,4.8735e-09,2.7500000000000002e-11,0.0
530.0,0.0,4.9305e-09,2.7e-11,0.0
531.0,0.0,4.9685e-09,2.65e-11,0.0
532.0,0.0,5.016e-09,2.61e-11,0.0
533.0,0.0,5.054e-09,2.5599999999999998e-11,0.0
534.0,0.0,5.092e-09,2.5199999999999998e-11,0.0
535.0,0.0,5.1205e-09,2.5e-11,0.0
536.0,0.0,1.5013400000000002e-08,2.48e-11,0.0
537.0,0.0,3.5632000000000006e-07,2.4699999999999996e-11,0.0
538.0,0.0,1.12135e-05,2.4699999999999996e-11,0.0
539.0,0.0,0.001067,0.0,0.0
540.0,0.0,0.0048024,0.0,0.0
541.0,0.0,0.00539596,0.0,0.0
542.0,0.0,0.0054488,0.0,0.0
543.0,0.0,0.00547104,0.0,0.0
544.0,0.0,0.00550873,0.0,0.0
545.0,0.0,0.0054684,0.0,0.0
546.0,0.0,0.0054446600000000005,0.0,0.0
547.0,0.0,0.005500560000000001,0.0,0.0
548.0,0.0,0.005404,0.0,0.0
549.0,0.0,0.005376,0.0,0.0
550.0,0.0,0.0055216,0.0,0.0
551.0,0.0,0.00549497,0.0,0.0
552.0,0.0,0.00548938,0.0,0.0
553.0,0.0,0.005522920000000001,0.0,0.0
554.0,0.0,0.0055271999999999995,0.0,0.0
555.0,0.0,0.00551174,0.0,0.0
556.0,0.0,0.0054963,0.0,0.0
557.0,0.0,0.00545303,0.0,0.0
558.0,0.0,0.0053376,0.0,0.0
559.0,0.0,0.0027528,0.0,0.0
560.0,0.0,0.000133514,0.0,0.0
561.0,0.0,3.17975e-06,0.0,0.0
562.0,0.0,1.7167199999999998e-07,0.0,0.0
563.0,0.0,1.4270900000000002e-08,0.0,0.0
564.0,0.0,5.2155000000000004e-09,0.0,0.0
565.0,0.0,5.206e-09,0.0,0.0
566.0,0.0,5.1869999999999996e-09,0.0,0.0
567.0,0.0,5.1775e-09,0.0,0.0
568.0,0.0,5.1585e-09,0.0,0.0
569.0,0.0,5.1395e-09,0.0,0.0
570.0,0.0,5.111e-09,0.0,0.0
571.0,0.0,0.0,0.0,0.0
572.0,2.46e-11,0.0,0.0,0.0
573.0,2.46e-11,0.0,0.0,0.0
574.0,2.46e-11,0.0,0.0,0.0
575.0,2.5599999999999998e-11,0.0,0.0,0.0
576.0,2.65e-11,0.0,0.0,0.0
577.0,2.68e-11,0.0,0.0,0.0
578.0,2.7099999999999996e-11,0.0,0.0,0.0
579.0,2.83e-11,0.0,0.0,0.0
580.0,2.96e-11,0.0,0.0,0.0
581.0,3.21e-11,0.0,0.0,0.0
582.0,3.45e-11,0.0,0.0,0.0
583.0,3.6e-11,0.0,0.0,0.0
584.0,3.7399999999999995e-11,0.0,0.0,0.0
585.0,3.96e-11,0.0,0.0,0.0
586.0,4.1699999999999996e-11,0.0,0.0,0.0
587.0,4.56e-11,0.0,0.0,0.0
588.0,4.95e-11,0.0,0.0,0.0
589.0,5.45e-11,0.0,0.0,0.0
590.0,5.95e-11,0.0,0.0,0.0
591.0,6.759999999999999e-11,0.0,0.0,0.0
592.0,7.56e-11,0.0,0.0,0.0
593.0,8.720000000000001e-11,0.0,0.0,0.0
594.0,9.869999999999999e-11,0.0,0.0,0.0
595.0,1.1299999999999998e-10,0.0,0.0,0.0
596.0,1.28e-10,0.0,0.0,0.0
597.0,1.4599999999999999e-10,0.0,0.0,0.0
598.0,1.6399999999999998e-10,0.0,0.0,0.0
599.0,1.86e-10,0.0,0.0,0.0
600.0,2.0799999999999998e-10,0.0,0.0,0.0
601.0,2.36e-10,0.0,0.0,0.0
602.0,2.6299999999999997e-10,0.0,0.0,0.0
603.0,2.97e-10,0.0,0.0,0.0
604.0,3.3e-10,0.0,0.0,0.0
605.0,3.7299999999999995e-10,0.0,0.0,0.0
606.0,4.1599999999999996e-10,0.0,0.0,0.0
607.0,4.68e-10,0.0,0.0,0.0
608.0,5.19e-10,0.0,0.0,0.0
609.0,5.849999999999999e-10,0.0,0.0,0.0
610.0,6.499999999999999e-10,0.0,0.0,0.0
611.0,7.33e-10,0.0,0.0,0.0
612.0,8.16e-10,0.0,0.0,0.0
613.0,9.169999999999999e-10,0.0,0.0,0.0
614.0,1.02e-09,0.0,0.0,0.0
615.0,1.14e-09,0.0,0.0,0.0
616.0,1.27e-09,0.0,0.0,0.0
617.0,1.43e-09,0.0,0.0,0.0
618.0,2.449e-09,0.0,0.0,0.0
619.0,7.735000000000001e-09,0.0,0.0,0.0
620.0,2.6248e-08,0.0,0.0,0.0
621.0,9.840599999999999e-08,0.0,0.0,0.0
622.0,4.0949999999999995e-07,0.0,0.0,0.0
623.0,1.96854e-06,0.0,0.0,0.0
624.0,1.132e-05,0.0,0.0,0.0
625.0,8.4592e-05,0.0,0.0,0.0
626.0,0.00093903,0.0,0.0,0.0
627.0,0.015354999999999999,0.0,0.0,0.0
628.0,0.039378199999999995,0.0,0.0,0.0
629.0,0.042096999999999996,0.0,0.0,0.0
630.0,0.044890200000000005,0.0,0.0,0.0
631.0,0.0462213,0.0,0.0,0.0
632.0,0.048263799999999996,0.0,0.0,0.0
633.0,0.0472374,0.0,0.0,0.0
634.0,0.045875400000000004,0.0,0.0,0.0
635.0,0.0420225,0.0,0.0,0.0
